id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
476687,313700,MG,LADAINHA,Programa Bolsa Família,,,Américo Taipina 27,27,rua,Antigo hospital municipal,Centro,39825000,"-17.628521578815054\,-41.73905611038209",2023-01-06T04:57:16.241Z
476701,310930,MG,BURITIS,POSTO DE ATENDIMENTO DO CADASTRO ÚNICO/PROGRAMA BOLSA FAMÍLIA,,,MINAS GERAIS 805,805,,,CENTRO,38660000,"-15.625578599050849\,-46.42286896705628",2023-01-06T04:57:16.139Z
476752,330025,RJ,ARRAIAL DO CABO,"SECRETARIA DE DESENVOLVIMENTO SOCIAL,TRABALHO, RENDA E DIREITOS HUMANOS",,,José Pinto de Macedo 8,8,,Antigo fórum,Prainha,28930000,"-22.963391993253914\,-42.024228572845466",2023-01-06T04:57:16.241Z
476856,353870,SP,PIRACICABA,"Central de Cadastro Único para Programas Sociais ",,,Monsenhor Manoel Francisco Rosa 900,900,,,Centro,13400270,"-22.720917185319497\,-47.64522135257721",2023-01-06T04:57:16.241Z
476874,312680,MG,FREI GASPAR,POSTO DE CADASTRO ÚNICO - CADÚNICO,,,AGNELO JOSE DE MAGALHÃES 25,25,,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CASA DAS FAMÍLIAS,centro,39840000,"-18.066\,-41.429",2023-01-06T04:57:16.241Z
478892,150730,PA,SÃO FÉLIX DO XINGU,CADUNICO -BOLSA FAMÍLIA,,,CONSTANTINO FERREIRA VIANA 00,00,,,CENTRO,68380000,"-6.645090094264459\,-51.99661999940872",2023-01-06T04:57:16.428Z
479236,260570,PE,FLORESTA,CADÚNICO/PROGRAMA BOLSA-FAMILIA,,,CAPITAO JOSE QUIRINO DE SA 58,58,,,CARAIBEIRAS,56400000,"-8.598238803464922\,-38.57750415802002",2023-01-06T04:57:16.335Z
479316,150747,PA,SÃO JOÃO DE PIRABAS,CADASTRO UNICO,,,Das Flores 0,0,,,Alegre,68719000,"-0.7715558451874911\,-47.17746941372753",2023-01-06T04:57:16.428Z
479333,292200,BA,MUCURI,CADÚNICO MUCURI,,,Canárias 220,220,Fundos,,Centro,45930000,"-18.079733241607446\,-39.5449447631836",2023-01-06T04:57:16.335Z
479334,292200,BA,MUCURI,CADÚNICO ITABATÃ,,,Salvador 322,322,,,Centro - Itabatã,45936000,"-18.007957678939714\,-39.863204956054695",2023-01-06T04:57:16.428Z
479337,261380,PE,SÃO VICENTE FERRER,Cadúnico/PBF,,,JOÃO INOJOSA 15,15,,EM FRENTE AO BANCO DO BRASIL,CENTRO,55860000,"-7.589622747023804\,-35.49031913280488",2023-01-06T04:57:16.428Z
479377,290620,BA,CANARANA,"Centro do Cadastro Único ",,,VIDEVAL SEIXAS DOURADO 00,00,,,CENTRO,44890000,"-11.687498109515547\,-41.77486896514893",2023-01-06T04:57:16.335Z
479383,311940,MG,CORONEL FABRICIANO,Sede Administrativa do Cadastro Único e Programa Bolsa Família,,,Rubi 63,63,,Antiga Fundação,Bom Jesus,35171112,"-19.515584460557676\,-42.62480735778809",2023-01-06T04:57:16.428Z
479387,293077,BA,SOBRADINHO,Cadastro Único,,,José Balbino de Souza 00,00,,,Vila São Joaquim,48925000,"-9.471497620455674\,-40.805346965789795",2023-01-06T04:57:16.428Z
479405,270760,AL,QUEBRANGULO,Prefeitura de Quebrangulo CadÚnico,,,Major Cícero de Goés Monteiro 0,0,,Prédio vizinho ao CREAS.,Centro,57750000,"-9.319988038149186\,-36.47231876850129",2023-01-06T04:57:16.428Z
479414,290570,BA,CAMAÇARI,Na sede do órgão gestor/Secretaria de Assistência Social,,,Av. Eixo Urbano Central 100,100,,Ao lado do Colégio CEMA.,Centro,42800110,"-12.7028344\,-38.3255281",2023-01-06T04:57:16.335Z
479416,311190,MG,CANA VERDE,Postos do Cadastro Unico- CadUnico,,,Governador Magalhaes Pinto 298,298,,IGREJA MATRIZ,CENTRO,37267000,"-21.021370172895473\,-45.18116712570191",2023-01-06T04:57:16.335Z
479419,280110,SE,CANHOBA,SEDE DO CADASTRO ÚNICO E PROGRAMA BOLSA FAMÍLIA,,,Américo Silveira da Rocha 142,142,142 - A,Mercado Municipal,Centro,49880000,"-10.137678137235664\,-36.97096019983292",2023-01-06T04:57:16.428Z
479431,230180,CE,BAIXIO,POSTO DO CADASTRO ÚNICO,,,CENTRO ADMINISTRATIVO CICERO HENRIQUE BRASILEIRO 00,00,PRAÇA DOS TRÊS PODERES,AO LADO DO FÓRUM,CENTRO,63320000,"-6.73\,-38.717",2023-01-06T04:57:16.335Z
479436,290170,BA,ANTÔNIO CARDOSO," POSTO DE ATENDIMENTO PROGRAMA AUXÍLIO BRASIL",,,DA MATRIZ 42,42,,VIZINHO AO MERCADO MUNICIPAL,CENTRO,44180000,"-12.435\,-39.12",2023-01-06T04:57:16.335Z
479441,270310,AL,IGACI,CADASTRO ÚNICO,,,PEDRO JOAQUIM 226,226,,PRÓXIMO AO CRAS,CENTRO,57620000,"-9.539536828181099\,-36.6278362266894",2023-01-06T04:57:16.335Z
479449,231030,CE,PARAMBU,CADASTRO UNICO PARA PROGRAMAS SOCIAIS,,,ENEAS DE CASTRO 54,54,,,CENTRO,63680000,"-6.211\,-40.694",2023-01-06T04:57:16.335Z
479450,352130,SP,IPUÃ,SETOR DO CADASTRO ÚNICO E PROGRAMA AUXÍLIO BRASIL,,,JOSÉ BONIFÁCIO 205,205,,,CENTRO,14610000,"-20.439459386128956\,-48.01493167877197",2023-01-06T04:57:16.335Z
479473,330385,RJ,PATY DO ALFERES,Outras Unidades Socioassistenciais - Setor PBF/CADÚNICO,,,RECANTO 46,46,,,CENTRO,26950000,"-22.431586098931195\,-43.42621278789011",2023-01-06T04:57:16.335Z
479493,310260,MG,ANDRADAS,Seção de Programas Sociais,,,Aurélio Beraldo Ribeiro 187,187,,Próximo ao velório municipal,Centro,37795000,"-22.06702471371815\,-46.572791934122506",2023-01-06T04:57:16.335Z
479514,260130,PE,BARRA DE GUABIRABA,Unidade Cadastro Único - Programa Bolsa Família,,,Praxedes Bezerra 00,00,,próximo ao CRAS,Centro,55690000,"-8.420095245174004\,-35.662200450897224",2023-01-06T04:57:16.335Z
479535,290650,BA,CANDEIAS,CadÚnico Bolsa Família,,,ROD BA 522 KM 11 0,0,,,CENTRO,43800000,"-12.67628563657225\,-38.552913665771484",2023-01-06T04:57:16.428Z
479560,330220,RJ,ITAPERUNA,POSTO DE CADASTRAMENTO DO CADÚNICO,,,São José 104,104,,,CENTRO,28300000,"-21.20613842836395\,-41.88636302947999",2023-01-06T04:57:16.335Z
479562,210780,MA,PARNARAMA,Cadastro Único para Programas Sociais/ Programa Bolsa Família,,,Rua Timbiras 263,263,,Próximo a REFASA,Centro,65640000,"-5.680110375591924\,-43.090302050113685",2023-01-06T04:57:16.335Z
479564,260740,PE,ITACURUBA,POSTO DE CADASTRO ÚNICO PARA PROGRAMAS SOCIAIS,,,ÁLVARO MAGALHÃES DE ARAÚJO 0,0,,PRÓXIMO A ESCOLA CRIANÇA ESPERANÇA,centro,56430000,"-8.727902413620592\,-38.68477106094361",2023-01-06T04:57:16.335Z
479571,310270,MG,CACHOEIRA DE PAJEÚ,POSTO DE CADASTRAMENTO - SMAS,,,Afonso Pena 14,14,,,centro,39980000,"-15.964540525373183\,-41.49605631821033",2023-01-06T04:57:16.335Z
479609,313240,MG,ITAJUBÁ,COORDENAÇÃO DE PROGRAMAS SOCIAIS,,,Xavier Lisboa 316,316,,,Varginha,37501042,"-22.42769724006049\,-45.450401305643034",2023-01-06T04:57:16.335Z
479611,250407,PB,CARAÚBAS,CADASTRO UNICO / PROGRAMA BOLSA FAMILIA,,,JOAO RIBEIRO DE BRITO 0,0,,,centro,58595000,"-7.727943753115056\,-36.49305224418641",2023-01-06T04:57:16.335Z
479643,250470,PB,CONGO,PROGRAMA AUXILIO BRASIL,,,TRAVESSA MOISES CONEGUNDES 0,0,,,CENTRO,58535000,"-7.799843044550972\,-36.65832996368409",2023-01-06T04:57:16.335Z
479663,261530,PE,TIMBAÚBA,Cadastro Único e Gestão do Bolsa Família,,,Rua Maciel Pinheiro 195,195,,ao lado da CDL,Centro,55870000,"-7.5143195\,-35.3147211",2023-01-06T04:57:16.335Z
479667,250990,PB,NATUBA,Cadastro Único e Programa Bolsa Família,,,Presidente Epitácio Pessoa 00,00,,Ao lado da delegacia de polícia,Centro,58494000,"-7.641448537864349\,-35.553444921970375",2023-01-06T04:57:16.428Z
479697,351380,SP,DIADEMA,"GECAD-SUAS - Gestão de Cadastros, Programas e Benefícios no âmbito do SUAS",,,CIDADE DE JUNDIAÍ 40,40,,,VILA DIRCE,09912120,"-23.688139\,-46.6142396",2023-01-06T04:57:16.335Z
479710,250073,PB,AMPARO,PROGRAMA BOLSA FAMILIA / CADUNICO,,,VEREADOR CICERO SOARES 0,0,,,CENTRO,58548000,"-7.569671313765113\,-37.064158916473396",2023-01-06T04:57:16.335Z
479718,250390,PB,CAMALAÚ,PROGRAMA BOLSA FAMILIA,,,JOSE CARDOSO 100,100,,camalau,CENTRO,58530000,"-7.893362178595019\,-36.82891309261323",2023-01-06T04:57:16.335Z
479726,260110,PE,ARARIPINA,Unidade de Atendimento do Cadastro Único -  Nascente,,,Manoel Gomes Ferreira 00,00,Unidade de Atendimento,"Próximo a Igreja Matriz da Localidade. Fica em frente ao cartório local. ",Distrito de Nascente,56280000,"-7.881025235625122\,-40.47467350960802",2023-01-06T04:57:16.335Z
479730,150553,PA,PARAUAPEBAS,CENTRAL DO CADÚNICO,,,RUA C 352,352,,,Cidade Nova,68515000,"-6.0641609404510035\,-49.910427331924446",2023-01-06T04:57:16.335Z
479758,352220,SP,ITAPECERICA DA SERRA,CADASTRO ÚNICO,,,TREZE DE MAIO 100,100,,PAT,CENTRO,06850840,"-23.717427060245576\,-46.84901736029134",2023-01-06T04:57:16.335Z
479801,350960,SP,CAMPO LIMPO PAULISTA,Cadastro Único - CadÚnico,,,AVENIDA DOS EMANCIPADORES 150,150,,,CENTRO,13230065,"-23.20472772633028\,-46.78596496582032",2023-01-06T04:57:16.428Z
479845,210405,MA,ESTREITO,POSTO DE CADASTRAMENTO DO CADASTRO ÚNICO,,,BERNARDO SABOIA 00,00,,ESQUINA COM RUA ARTUR AZEVEVEDO - ANTIGO SITICEMA.,Planalto lI,65975000,"-6.5530870502345255\,-47.43471622467042",2023-01-06T04:57:16.428Z
480058,314090,MG,MATIPÓ,CADASTRO ÚNICO MATIPÓ,,,JOAO MENDES MAGALHAES 353,353,,,EXPOSIÇÃO,35367000,"-20.28651204195925\,-42.34154462814331",2023-01-06T04:57:16.335Z
480082,351570,SP,FERRAZ DE VASCONCELOS,Cadastro Único para Programas Sociais,,,Americo Trufelli 60,60,,"Próximo a Estação CPTM Antonio Gianetti Neto, o Posto do Cadastro Único está localizado dentro do Centro de Intregração de Cidadania - CIC Ferraz.",São Francisco,08527052,"-23.558731\,-46.3775517",2023-01-06T04:57:16.335Z
480139,320150,ES,COLATINA,Cadúnico/PBF,,,Pedro Epichin 260,260,,,Centro,29700022,"-19.531328811769093\,-40.623342990875244",2023-01-06T04:57:16.335Z
480208,310060,MG,ÁGUA BOA,CADÚNICO,,,EMILIANO VASCONCELOS 133,133,,CRAS,CENTRO,39790000,"-17.99299905220227\,-42.390081882476814",2023-01-06T04:57:16.335Z
480232,313380,MG,ITAÚNA,Setor de Cadastro Único para Programas Sociais do Governo Federal,,,Getúlio Vargas 162,162,,Ao lado do Cartório de Registro Civil das Pessoas Naturais de Itaúna,Centro,35680037,"-20.07051377356907\,-44.57940816879273",2023-01-06T04:57:16.335Z
480264,230725,CE,JIJOCA DE JERICOACOARA,POSTO CADASTRO ÚNICO - PBF,,,06 DE MARÇO 112,112,,AO LADO DO MERCANTIL BRASIL FRIOS,CENTRO,62598000,"-2.8943737519083292\,-40.450233221054084",2023-01-06T04:57:16.335Z
480268,521970,GO,SANTA TEREZINHA DE GOIÁS,POSTO DO CADASTRO UNICO,,,DONA DITA 0,0,,,CENTRO,76500000,"-14.438\,-49.706",2023-01-06T04:57:16.335Z
480273,313570,MG,JEQUITIBÁ,POSTO CADÚNICO/PBF,,,PROFESSOR JOSE REIS 214,214,,,CENTRO,35767000,"-19.237597667833626\,-44.0234398841858",2023-01-06T04:57:16.335Z
480311,432300,RS,VIAMÃO,Cadastro Único,,,Senador Salgado Filho 2005,2005,,Complexo Ana Jobim,Cecília,94475000,"-30.08234087127731\,-51.099025726252876",2023-01-06T04:57:16.428Z
480312,250890,PB,MAMANGUAPE,Posto do Cadastro Único e Programa Bolsa Familia,,,Ariosvaldo R. da Costa 77,77,Casa,Proximo a Igreja do Rosario,CENTRO,58280000,"-6.836605031719919\,-35.12494325637818",2023-01-06T04:57:16.428Z
480329,210010,MA,AFONSO CUNHA,CADASTRO ÚNICO,,,DA COMUNIDADE 0,0,,PRÓXIMO A JOAMAM CALÇADOS,CENTRO,65505000,"-4.21479011321025\,-43.2974302178104",2023-01-06T04:57:16.428Z
480333,150060,PA,ALTAMIRA,Cadastro Único/ Programa Bolsa Família,,,JOÃO RODRIGUES 1183,1183,,,JARDIM UIRAPURÚ,68371000,"-3.2071328187260066\,-52.22062826134789",2023-01-06T04:57:16.335Z
480375,354970,SP,SÃO JOSÉ DO RIO PARDO,CENTRAL DE CADASTRO ÚNICO,,,BENJAMIN CONSTANT 92,92,CASA,PRÓXIMO SUPERMERCADO FONSECA FLEX,CENTRO,13720000,"-21.596888775255437\,-46.88788890838624",2023-01-06T04:57:16.335Z
480380,330030,RJ,BARRA DO PIRAÍ,Coordenadoria de Benefícios e Programas de Transferência de Renda,,,MOREIRA DOS SANTOS 768,768,,PRÉDIO DA UNIMED,CENTRO,27135030,"-22.46378499855896\,-43.81977438926697",2023-01-06T04:57:16.335Z
480412,352470,SP,JAGUARIÚNA,CENTRAL DE ATENDIMENTO DO CADASTRO ÚNICO,,,JULIA BUENO 191,191,,,CENTRO,13910007,"-22.706\,-46.986",2023-01-06T04:57:16.335Z
480737,410180,PR,ARAUCÁRIA,CADASTRO ÚNICO PARA PROGRAMAS SOCIAIS,,,FREDERICO BASSO 37,37,FUNDOS,,CENTRO,83702590,"-25.58998150103997\,-49.40066814422608",2023-01-06T04:57:16.335Z
480746,150420,PA,MARABÁ,COMITE GESTOR DO PROGRAMA AUXILIO BRASIL,,,ANTONIO MAIA 1810,1810,,INICIO DA MARABA PIONEIRA,MARABA PIONEIRA,68500005,"-5.348329863495998\,-49.12929296493531",2023-01-06T04:57:16.335Z
480765,270915,AL,TEOTÔNIO VILELA,CADÚNICO,,,VEREADOR MIGUEL TAVARES 538,538,,,CENTRO,57265000,"-9.909966800586476\,-36.3590168952942",2023-01-06T04:57:14.637Z
480805,260320,PE,CAETÉS,"Cadastro Único e Programa Bolsa Família ",,,Aloisio Souto Pinto 44,44,,,CENTRO,55360000,"-8.773936247184293\,-36.62447029371833",2023-01-06T04:57:16.428Z
480828,293135,BA,TEIXEIRA DE FREITAS,Cadastro Único,,,JOÃO CALMON 189,189,,,CENTRO,45985126,"-17.533547172658988\,-39.743363857269294",2023-01-06T04:57:16.428Z
480831,220840,PI,PIRIPIRI,Cadastro Único para Programas Sociais do Governo Federal,,,RUI BARBOSA 330,330,,POR TRÁS DO FÓRUM DESEMBARGADOR JOÃO TURÍBIO MONTEIRO,FONTE DOS MATOS,64260000,"-4.273\,-41.777",2023-01-06T04:57:16.335Z
480832,412575,PR,SÃO PEDRO DO IGUAÇU,SUB PREFEITURA DE LUZ MARINA,,,JOÃO MARINO 0,0,,,Distrito de Luz Marina,85929000,"-24.834161400109807\,-54.02994632720948",2023-01-06T04:57:16.428Z
480847,521880,GO,RIO VERDE,CADASTRO ÚNICO,,,OSÓRIO COELHO DE MORAES 1391,1391,,,Jardim Goias,75901020,"-17.792353793489966\,-50.93122243881226",2023-01-06T04:57:16.335Z
480848,320260,ES,ICONHA,POSTO DO CADASTRO ÚNICO - ICONHA,,,MANOEL  JACQUES SOARES 00,00,,PERTO DO PARQUE DE EXPOSIÇOES,JARDIM JANDIRA,29280000,"-20.787519880957582\,-40.81629306077958",2023-01-06T04:57:16.428Z
480866,354200,SP,QUINTANA,Cadúnico/PBF,,,Santa Amélia 443,443,,Próximo à Prefeitura Municipal.,Centro,17670000,"-22.071730939197717\,-50.3059995174408",2023-01-06T04:57:16.428Z
480869,311510,MG,CÁSSIA,PROGRAMA AUXÍLIO BRASIL - PAB,,,Santa Rita 200,200,,Ao Lado do Posto de saúde,Centro,37980000,"-20.583255624720405\,-46.91863775253296",2023-01-06T04:57:16.335Z
480893,231180,CE,RUSSAS,CADASTRO ÚNICO,,,DR. JOSÉ RAMALHO 1592,1592,,VIZINHO A SETAS,CENTRO,62900000,"-4.939167290383726\,-37.97115862369538",2023-01-06T04:57:16.428Z
480948,230620,CE,ITAIÇABA,POSTO CADÚNICO - SEDE,,,31 DE MARÇO 00,00,SECRETARIA,PRÓXIMO AO CVT,CENTRO,62820000,"-4.678273294815567\,-37.8215503692627",2023-01-06T04:57:16.523Z
480949,240810,RN,NATAL,CADASTRO ÚNICO - UNIDADE I RIBEIRA,,,AUGUSTO SEVERO 260,260,,,RIBEIRA,59012380,"-5.7793776\,-35.2055547",2023-01-06T04:57:16.428Z
480954,350740,SP,BORBOREMA,POSTO DO CADASTRO ÚNICO PARA PROGRAMAS SOCIAIS,,,RUA JOSE ROSA DA SILVA 675,675,,PROXIMO A CAMARA MUNICIPAL,CENTRO,14955000,"-21.61857417822205\,-49.072322845458984",2023-01-06T04:57:16.428Z
480957,240810,RN,NATAL,CADASTRO ÚNICO - UNIDADE II PANATIS,,,DR. JOÃO MEDEIROS FILHO 2052,2052,,EM FRENTE À CENTRAL DO CIDADÃO,POTENGI,59104200,"-5.771533692779073\,-35.25474071502686",2023-01-06T04:57:16.523Z
480961,280460,SE,NOSSA SENHORA DAS DORES,Central de Atendimento Cadastro Único e Programa Bolsa Família,,,Desembargador Humberto Diniz Sobral 00,00,,,Centro,49600000,"-10.490639160971947\,-37.19359159469605",2023-01-06T04:57:16.428Z
481004,230410,CE,CRATEÚS,CADASTRO ÚNICO,,,ALMIRANTE TAMANDARÉ 813,813,,ARCO NOSSA SENHORA DE FÁTIMA,CENTRO,63700094,"-5.178952230322768\,-40.66872596740723",2023-01-06T04:57:16.428Z
481335,210407,MA,FEIRA NOVA DO MARANHÃO,UNIDADE DESCENTRALIZADA DO CADASTRO ÚNICO E PROGRAMA BOLSA FAMILIA,,,MARANHÃO 00,00,,,CENTRO,65995000,"-6.963020663604867\,-46.68447017669678",2023-01-06T04:57:16.523Z
481398,521380,GO,MORRINHOS,Cadastro Único / Programa Auxílio Brasil,,,Rua Pará 54,54,,,CENTRO,75650000,"-17.730497379367883\,-49.1044020652771",2023-01-06T04:57:16.523Z
481511,510525,MT,LUCAS DO RIO VERDE,CADASTRO ÚNICO PARA PROGRAMAS DO GOVERNO FEDERAL,,,AV. MATO GROSSO 2050,2050,"S, QD0A LT01",ROTATORIA ROSA MISTICA,JARDIM ALVORADA,78455000,"-13.076839512169093\,-55.90480238199235",2023-01-06T04:57:16.428Z
481624,250130,PB,AROEIRAS,"POSTO DO CADASTRO ÚNICO /PROGRAMA BOLSA FAMÍLIA ",,,ZEFERINO DE PAULA 00,00,,,CENTRO,58489000,"-7.5433586840028095\,-35.72455644607545",2023-01-06T04:57:16.523Z
